#NAME	SRR18776267	SRR18776268	SRR18776259	SRR18776269	SRR18776266	SRR18776265	SRR18776260	SRR18776270	SRR18776262	SRR18776271	SRR18776264	SRR18776261	SRR18776419	SRR18776420	SRR18776421	SRR14411053	SRR14411055	SRR14411054	SRR14411057	SRR14411056	SRR18776307	SRR18776308	SRR18776309	SRR7958220	SRR18774291	SRR18774282	SRR18774284	SRR18774285	SRR18774281	SRR18774286	SRR18774280	SRR18774288	SRR18774289	SRR18774287	SRR18774279	SRR18774290	SRR18776275	SRR18776254	SRR18776258	SRR18776255	SRR18776252	SRR18776253	SRR18776257	SRR18776273	SRR18776272	SRR18776256	SRR18776274	SRR18776263	SRR18776422	SRR18776423	SRR18776424	SRR14411052	SRR14411051	SRR14411048	SRR14411049	SRR14411050	SRR18776312	SRR18776310	SRR18776311	SRR7958217	SRR7958223	SRR18774277	SRR18774276	SRR18774294	SRR18774293	SRR18774292	SRR18774274	SRR18774295	SRR18774275	SRR18774272	SRR18774273	SRR18774283	SRR18774278
MJ034-1-barcode48-umi8743bins-ubs-47	21	8	9	4	5	2	66	5	0	7	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	3	0	0	0	0	5	0	6	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	5	5	0	0	0	6	0	0	0
MG189374	12	0	9	21	5	0	0	0	3	4	0	3	21	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	80	9	0	3	15	0	5	0	3	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	13	0	0	18	0	0	2	0	1	0	4	0	0	0
LR760817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	7	0	0	0	5
RS-GCF-004358425.1-NZ-CP037948.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	15	8	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ034-1-barcode39-umi19931bins-ubs-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ033-1-barcode34-umi1789bins-ubs-187	11	0	27	2	0	2	9	0	0	7	62	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	9	4	6	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	56	0	0	0	4	0	0	0	0	0	0
G000377645	0	0	0	0	0	0	2	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	31	4	0	7	0	0
MF979828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	5	0	0	0
MH277174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	2	30	34	0	0	0	0	0	0	34	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MJ030-2-barcode59-umi64275bins-ubs-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0
